FOSSIL Frequency (Hz) and Sensitivity (Jy/sr) values
================================

Effective observing time: 2.8 years
Sky fraction: 70% (Planck galactic mask)
FWHM equivalent gaussian beam: 1.6 degrees
Dichroic splitting frequency: 300 GHz

index	frequency	sensitivity
0	50000000000.0	1.489247828197960
1	65000000000.0	1.412922861386422
2	80000000000.0	1.344227551830586
3	95000000000.0	1.346175558263028
4	110000000000.0	1.348120749869649
5	125000000000.0	1.350063138817376
6	140000000000.0	1.352002737185748
7	155000000000.0	1.353939556967769
8	170000000000.0	1.355873610070793
9	185000000000.0	1.357804908317367
10	200000000000.0	1.359733463446074
11	215000000000.0	1.361659287112376
12	230000000000.0	1.363582390889422
13	245000000000.0	1.365502786268865
14	260000000000.0	1.367420484661672
15	275000000000.0	1.369335497398898
16	290000000000.0	1.371247835732481
17	305000000000.0	0.428602102529901
18	320000000000.0	0.435342556471285
19	335000000000.0	0.441980226545099
20	350000000000.0	0.448519676088752
21	365000000000.0	0.454965140445575
22	380000000000.0	0.461320559050390
23	395000000000.0	0.467589603588946
24	410000000000.0	0.473775702802888
25	425000000000.0	0.479882064416115
26	440000000000.0	0.485911694580585
27	455000000000.0	0.491867415176161
28	470000000000.0	0.497751879247061
29	485000000000.0	0.503567584814475
30	500000000000.0	0.509316887269395
31	515000000000.0	0.515002010520045
32	530000000000.0	0.520625057043542
33	545000000000.0	0.526188016970639
34	560000000000.0	0.531692776314853
35	575000000000.0	0.537141124442449
36	590000000000.0	0.542534760867174
37	605000000000.0	0.547875301442860
38	620000000000.0	0.553164284017874
39	635000000000.0	0.558403173607484
40	650000000000.0	0.563593367133443
41	665000000000.0	0.568736197774254
42	680000000000.0	0.573832938964484
43	695000000000.0	0.578884808077151
44	710000000000.0	0.583892969819318
45	725000000000.0	0.588858539367754
46	740000000000.0	0.593782585268572
47	755000000000.0	0.598666132122179
48	770000000000.0	0.603510163072697
49	785000000000.0	0.608315622118926
50	800000000000.0	0.613083416262288
51	815000000000.0	0.617814417505566
52	830000000000.0	0.622509464714910
53	845000000000.0	0.627169365356398
54	860000000000.0	0.631794897117292
55	875000000000.0	0.636386809421245
56	890000000000.0	0.640945824845794
57	905000000000.0	0.645472640449738
58	920000000000.0	0.649967929017317
59	935000000000.0	0.654432340225453
60	950000000000.0	0.658866501739818
61	965000000000.0	0.663271020244943
62	980000000000.0	0.667646482413163
63	995000000000.0	0.671993455816776
64	1010000000000.0	0.676312489787432
65	1025000000000.0	0.680604116226444
66	1040000000000.0	0.684868850369383
67	1055000000000.0	0.689107191508102
68	1070000000000.0	0.693319623673012
69	1085000000000.0	0.697506616278289
70	1100000000000.0	0.701668624732424
71	1115000000000.0	0.705806091016360
72	1130000000000.0	0.709919444231313
73	1145000000000.0	0.714009101118186
74	1160000000000.0	0.718075466550350
75	1175000000000.0	0.722118934001460
76	1190000000000.0	0.726139885989819
77	1205000000000.0	0.730138694500716
78	1220000000000.0	0.734115721388061
79	1235000000000.0	0.738071318756538
80	1250000000000.0	0.742005829325429
81	1265000000000.0	0.745919586775157
82	1280000000000.0	0.749812916077553
83	1295000000000.0	0.753686133810770
84	1310000000000.0	0.757539548459702
85	1325000000000.0	0.761373460702717
86	1340000000000.0	0.765188163685465
87	1355000000000.0	0.768983943282457
88	1370000000000.0	0.772761078347078
89	1385000000000.0	0.776519840950662
90	1400000000000.0	0.780260496611192
91	1415000000000.0	0.783983304512186
92	1430000000000.0	0.787688517712268
93	1445000000000.0	0.791376383345910
94	1460000000000.0	0.795047142815792
95	1475000000000.0	0.798701031977208
96	1490000000000.0	0.802338281314908
97	1505000000000.0	0.805959116112761
98	1520000000000.0	0.809563756616590
99	1535000000000.0	0.813152418190506
100	1550000000000.0	0.816725311467063
101	1565000000000.0	0.820282642491522
102	1580000000000.0	0.823824612860514
103	1595000000000.0	0.827351419855359
104	1610000000000.0	0.830863256570286
105	1625000000000.0	0.834360312035804
106	1640000000000.0	0.837842771337431
107	1655000000000.0	0.841310815730007
108	1670000000000.0	0.844764622747776
109	1685000000000.0	0.848204366310440
110	1700000000000.0	0.851630216825353
111	1715000000000.0	0.855042341286032
112	1730000000000.0	0.858440903367146
113	1745000000000.0	0.861826063516128
114	1760000000000.0	0.865197979041565
115	1775000000000.0	0.868556804198499
116	1790000000000.0	0.871902690270774
117	1805000000000.0	0.875235785650539
118	1820000000000.0	0.878556235915049
119	1835000000000.0	0.881864183900855
120	1850000000000.0	0.885159769775504
121	1865000000000.0	0.888443131106840
122	1880000000000.0	0.891714402930013
123	1895000000000.0	0.894973717812278
124	1910000000000.0	0.898221205915689
125	1925000000000.0	0.901456995057744
126	1940000000000.0	0.904681210770092
127	1955000000000.0	0.907893976355358
128	1970000000000.0	0.911095412942160
129	1985000000000.0	0.914285639538404
130	2000000000000.0	0.917464773082896
